iter	Passed	Remaining
400	19324	28866
401	19371	28816
402	19419	28767
403	19465	28716
404	19512	28666
405	19559	28616
406	19608	28569
407	19655	28519
408	19702	28469
409	19747	28417
410	19794	28367
411	19839	28315
412	19890	28270
413	19937	28220
414	19987	28175
415	20034	28125
416	20080	28074
417	20128	28025
418	20176	27977
419	20223	27927
420	20269	27876
421	20315	27826
422	20361	27774
423	20409	27725
424	20458	27679
425	20510	27636
426	20559	27588
427	20607	27541
428	20656	27494
429	20703	27444
430	20749	27393
431	20794	27341
432	20840	27290
433	20886	27239
434	20934	27190
435	20985	27146
436	21033	27098
437	21079	27047
438	21124	26994
439	21171	26946
440	21219	26897
441	21266	26847
442	21311	26796
443	21360	26748
444	21406	26697
445	21452	26647
446	21499	26597
447	21546	26547
448	21593	26498
449	21638	26446
450	21686	26398
451	21732	26347
452	21778	26297
453	21824	26247
454	21872	26198
455	21921	26151
456	21973	26108
457	22019	26057
458	22068	26010
459	22115	25961
460	22163	25913
461	22211	25865
462	22257	25814
463	22305	25766
464	22354	25720
465	22403	25673
466	22449	25622
467	22498	25575
468	22545	25525
469	22592	25476
470	22638	25426
471	22686	25378
472	22734	25329
473	22779	25279
474	22826	25229
475	22872	25179
476	22919	25129
477	22970	25084
478	23017	25035
479	23063	24985
480	23109	24935
481	23158	24888
482	23204	24838
483	23250	24787
484	23296	24737
485	23341	24686
486	23389	24637
487	23436	24589
488	23483	24540
489	23530	24490
490	23577	24441
491	23624	24392
492	23674	24346
493	23721	24297
494	23770	24250
495	23817	24201
496	23863	24151
497	23913	24105
498	23965	24061
499	24012	24012
500	24057	23961
501	24104	23911
502	24150	23862
503	24199	23814
504	24245	23765
505	24290	23714
506	24337	23665
507	24383	23615
508	24428	23564
509	24476	23516
510	24522	23466
511	24569	23417
512	24616	23368
513	24664	23320
514	24710	23270
515	24755	23220
516	24802	23171
517	24847	23120
518	24895	23072
519	24946	23027
520	24992	22978
521	25038	22928
522	25084	22878
523	25131	22829
524	25176	22779
525	25221	22728
526	25269	22680
527	25315	22630
528	25361	22581
529	25409	22532
530	25457	22485
531	25502	22434
532	25549	22385
533	25594	22335
534	25644	22288
535	25691	22240
536	25737	22190
537	25784	22141
538	25830	22092
539	25877	22044
540	25929	21999
541	25977	21951
542	26023	21901
543	26069	21852
544	26117	21804
545	26163	21755
546	26212	21707
547	26260	21659
548	26307	21611
549	26353	21561
550	26399	21512
551	26447	21464
552	26492	21414
553	26537	21364
